complete,volume,time,mid
True,125416,2021-03-08T22:00:00.000000000Z,"{'o': '1.18488', 'h': '1.19158', 'l': '1.18356', 'c': '1.19016'}"
True,114326,2021-03-09T22:00:00.000000000Z,"{'o': '1.18987', 'h': '1.19299', 'l': '1.18690', 'c': '1.19286'}"
True,113796,2021-03-10T22:00:00.000000000Z,"{'o': '1.19280', 'h': '1.19900', 'l': '1.19158', 'c': '1.19856'}"
True,109181,2021-03-11T22:00:00.000000000Z,"{'o': '1.19818', 'h': '1.19886', 'l': '1.19099', 'c': '1.19525'}"
True,80722,2021-03-14T21:00:00.000000000Z,"{'o': '1.19516', 'h': '1.19674', 'l': '1.19112', 'c': '1.19302'}"
True,85599,2021-03-15T21:00:00.000000000Z,"{'o': '1.19262', 'h': '1.19520', 'l': '1.18822', 'c': '1.19027'}"
True,92193,2021-03-16T21:00:00.000000000Z,"{'o': '1.19009', 'h': '1.19856', 'l': '1.18862', 'c': '1.19794'}"
True,111991,2021-03-17T21:00:00.000000000Z,"{'o': '1.19781', 'h': '1.19890', 'l': '1.19062', 'c': '1.19160'}"
True,93996,2021-03-18T21:00:00.000000000Z,"{'o': '1.19124', 'h': '1.19371', 'l': '1.18739', 'c': '1.19042'}"
True,75715,2021-03-21T21:00:00.000000000Z,"{'o': '1.18740', 'h': '1.19470', 'l': '1.18676', 'c': '1.19326'}"
True,80960,2021-03-22T21:00:00.000000000Z,"{'o': '1.19331', 'h': '1.19409', 'l': '1.18422', 'c': '1.18493'}"
True,82676,2021-03-23T21:00:00.000000000Z,"{'o': '1.18483', 'h': '1.18534', 'l': '1.18096', 'c': '1.18128'}"
True,91422,2021-03-24T21:00:00.000000000Z,"{'o': '1.18133', 'h': '1.18278', 'l': '1.17618', 'c': '1.17644'}"
True,68830,2021-03-25T21:00:00.000000000Z,"{'o': '1.17650', 'h': '1.18050', 'l': '1.17650', 'c': '1.17941'}"
True,75363,2021-03-28T21:00:00.000000000Z,"{'o': '1.17941', 'h': '1.17941', 'l': '1.17606', 'c': '1.17650'}"
True,71458,2021-03-29T21:00:00.000000000Z,"{'o': '1.17640', 'h': '1.17758', 'l': '1.17114', 'c': '1.17158'}"
True,75172,2021-03-30T21:00:00.000000000Z,"{'o': '1.17175', 'h': '1.17600', 'l': '1.17042', 'c': '1.17308'}"
True,72282,2021-03-31T21:00:00.000000000Z,"{'o': '1.17298', 'h': '1.17800', 'l': '1.17126', 'c': '1.17774'}"
True,26808,2021-04-01T21:00:00.000000000Z,"{'o': '1.17770', 'h': '1.17868', 'l': '1.17494', 'c': '1.17602'}"
True,40418,2021-04-04T21:00:00.000000000Z,"{'o': '1.17608', 'h': '1.18196', 'l': '1.17376', 'c': '1.18123'}"
True,64843,2021-04-05T21:00:00.000000000Z,"{'o': '1.18123', 'h': '1.18778', 'l': '1.17950', 'c': '1.18765'}"
True,74967,2021-04-06T21:00:00.000000000Z,"{'o': '1.18758', 'h': '1.19149', 'l': '1.18608', 'c': '1.18718'}"
True,65388,2021-04-07T21:00:00.000000000Z,"{'o': '1.18670', 'h': '1.19275', 'l': '1.18608', 'c': '1.19154'}"
True,64612,2021-04-08T21:00:00.000000000Z,"{'o': '1.19150', 'h': '1.19202', 'l': '1.18671', 'c': '1.18998'}"
True,61617,2021-04-11T21:00:00.000000000Z,"{'o': '1.18906', 'h': '1.19192', 'l': '1.18712', 'c': '1.19114'}"
True,83093,2021-04-12T21:00:00.000000000Z,"{'o': '1.19106', 'h': '1.19560', 'l': '1.18780', 'c': '1.19487'}"
True,68077,2021-04-13T21:00:00.000000000Z,"{'o': '1.19480', 'h': '1.19874', 'l': '1.19476', 'c': '1.19790'}"
True,69014,2021-04-14T21:00:00.000000000Z,"{'o': '1.19785', 'h': '1.19934', 'l': '1.19562', 'c': '1.19665'}"
True,59370,2021-04-15T21:00:00.000000000Z,"{'o': '1.19665', 'h': '1.19950', 'l': '1.19506', 'c': '1.19822'}"
True,76983,2021-04-18T21:00:00.000000000Z,"{'o': '1.19734', 'h': '1.20480', 'l': '1.19426', 'c': '1.20369'}"
True,79484,2021-04-19T21:00:00.000000000Z,"{'o': '1.20382', 'h': '1.20799', 'l': '1.20224', 'c': '1.20364'}"
True,64941,2021-04-20T21:00:00.000000000Z,"{'o': '1.20340', 'h': '1.20438', 'l': '1.19985', 'c': '1.20349'}"
True,87596,2021-04-21T21:00:00.000000000Z,"{'o': '1.20330', 'h': '1.20698', 'l': '1.19938', 'c': '1.20148'}"
True,70313,2021-04-22T21:00:00.000000000Z,"{'o': '1.20156', 'h': '1.21002', 'l': '1.20129', 'c': '1.20968'}"
True,69645,2021-04-25T21:00:00.000000000Z,"{'o': '1.20926', 'h': '1.21170', 'l': '1.20612', 'c': '1.20859'}"
True,64353,2021-04-26T21:00:00.000000000Z,"{'o': '1.20865', 'h': '1.20930', 'l': '1.20569', 'c': '1.20916'}"
True,88080,2021-04-27T21:00:00.000000000Z,"{'o': '1.20898', 'h': '1.21348', 'l': '1.20561', 'c': '1.21258'}"
True,74689,2021-04-28T21:00:00.000000000Z,"{'o': '1.21252', 'h': '1.21500', 'l': '1.21024', 'c': '1.21199'}"
True,77540,2021-04-29T21:00:00.000000000Z,"{'o': '1.21199', 'h': '1.21267', 'l': '1.20168', 'c': '1.20200'}"
True,59003,2021-05-02T21:00:00.000000000Z,"{'o': '1.20330', 'h': '1.20763', 'l': '1.20132', 'c': '1.20638'}"
True,79419,2021-05-03T21:00:00.000000000Z,"{'o': '1.20648', 'h': '1.20652', 'l': '1.19990', 'c': '1.20133'}"
True,63852,2021-05-04T21:00:00.000000000Z,"{'o': '1.20141', 'h': '1.20266', 'l': '1.19860', 'c': '1.20048'}"
